Unidade,Ativos,Tot_Ativos (%),Inativos,Tot_Inativos (%),Total_parc,Total_parc(%),Outras_Despesas,Tot_Outras_Despesas(%),Total,Total(%)
IQSC                                              ,34655182.87,0.9,4499135.76,0.5,39154318.63,0.8,670108.85,0.1,39824427.48,0.8
IRI                                               ,7177616.4,0.2,,,7177616.4,0.2,705662.65,0.1,7883279.05,0.2
CEBIMar                                           ,6587004.43,0.2,373596.83,0,6960601.26,0.2,263580.26,0,7224181.52,0.1
CENA                                              ,29634816.75,0.8,4196394.64,0.4,33831211.39,0.7,1100412.9,0.2,34931624.29,0.7
IEA                                               ,6706244.55,0.2,377707.22,0,7083951.77,0.2,665639.72,0.1,7749591.49,0.2
IEB                                               ,11941504.35,0.3,2584506.86,0.3,14526011.21,0.3,291678.48,0,14817689.69,0.3
IEE                                               ,33570809.91,0.9,2130321.15,0.2,35701131.06,0.8,359025.86,0.1,36060156.92,0.7
IMT                                               ,13198347.1,0.4,769366.02,0.1,13967713.12,0.3,286229.53,0,14253942.65,0.3
HRAC                                              ,89063909.91,2.4,627193.07,0.1,89691102.98,1.9,1803487.37,0.3,91494590.35,1.7
HU                                                ,256031111.72,6.9,3253413.45,0.3,259284525.17,5.6,34495517.48,5.5,293780042.65,5.5
SVOC                                              ,10385722.2,0.3,2639041.45,0.3,13024763.65,0.3,139986.23,0,13164749.88,0.2
SVOI                                              ,2980683.52,0.1,,,2980683.52,0.1,68572.35,0,3049255.87,0.1
MAC                                               ,15820757.34,0.4,1537925.6,0.2,17358682.94,0.4,592037.25,0.1,17950720.19,0.3
MAE                                               ,15343471.05,0.4,3627324.62,0.4,18970795.67,0.4,586481.57,0.1,19557277.24,0.4
MP                                                ,12963737.2,0.4,4183955.65,0.4,17147692.85,0.4,1061122.78,0.2,18208815.63,0.3
MZ                                                ,13466688.21,0.4,2773477.6,0.3,16240165.81,0.4,801793.51,0.1,17041959.32,0.3
CDCC                                              ,5154033.58,0.1,,,5154033.58,0.1,270024.1,0,5424057.68,0.1
CEPEUSP                                           ,20789925.57,0.6,957569.44,0.1,21747495.01,0.5,412580.73,0.1,22160075.74,0.4
EDUSP                                             ,8407065.08,0.2,355809.09,0,8762874.17,0.2,626057.57,0.1,9388931.74,0.2
PUSP-B                                            ,14684650.12,0.4,639535.27,0.1,15324185.39,0.3,558208.08,0.1,15882393.47,0.3
PUSP-C                                            ,30283995.15,0.8,2345976,0.2,32629971.15,0.7,7341660.88,1.2,39971632.03,0.8
PUSP-FC                                           ,23835086.56,0.6,4063767.94,0.4,27898854.5,0.6,4822210.98,0.8,32721065.48,0.6
PUSP-LQ                                           ,32953861.36,0.9,4218563.09,0.4,37172424.45,0.8,2222686.63,0.4,39395111.08,0.7
PUSP-QSD                                          ,1108763.51,0,,,1108763.51,0,196204.41,0,1304967.92,0
PUSP-RP                                           ,54243969.14,1.5,4730747.83,0.5,58974716.97,1.3,3866838.87,0.6,62841555.84,1.2
PUSP-SC                                           ,27873815.34,0.8,953019.39,0.1,28826834.73,0.6,1339435.32,0.2,30166270.05,0.6
RUSP                                              ,219076261.94,5.9,44162947.67,4.6,263239209.61,5.6,31466506.52,5,294705716.13,5.6
SAS                                               ,59723578.52,1.6,2222272.37,0.2,61945850.89,1.3,855716.44,0.1,62801567.33,1.2
SCS                                               ,18674796.01,0.5,1517850.2,0.2,20192646.21,0.4,961923.96,0.2,21154570.17,0.4
SEF                                               ,27241219.34,0.7,1196575.67,0.1,28437795.01,0.6,26554950.2,4.2,54992745.21,1
SIBI                                              ,7531937.86,0.2,1104681.3,0.1,8636619.16,0.2,236324.03,0,8872943.19,0.2
STI                                               ,53284023.13,1.4,,,53284023.13,1.1,16127013.56,2.6,69411036.69,1.3
ATIVIDADES INTEGRADAS                             ,,,,,,,284930506.32,45.1,284930506.32,5.4
F. E PROJ. ESPECIAIS                              ,,,,,,,106870723.34,16.9,106870723.34,2
SENTENÇAS                                         ,,,,,,,20747147.79,3.3,20747147.79,0.4
